name,detail,note
Không sát sinh,"Không giết hại bất kỳ sinh vật nào, kể cả côn trùng nhỏ",Thập Thiện thứ nhất
Phóng sinh,"Cứu giúp động vật bị giam cầm, thả về môi trường tự nhiên phù hợp",Nuôi dưỡng tâm từ bi
"Cho ăn chim chóc, muôn loài","Để lại một nắm gạo, chút đường cho sinh vật nhỏ bé",Kết duyên lành với muôn sinh
"Dời đá, vật cản giữa đường",Nhặt vật cản trên đường đi để người khác không vấp ngã,Bố thí bằng hành động
Giúp người khuyết tật qua đường,Dừng lại giúp đỡ người cần hỗ trợ,Thực hành từ bi
"Nhường ghế cho người già, bà bầu","Nhường chỗ ngồi trên xe buýt, tàu điện","Tôn trọng người già, yếu"
Giúp người mang đồ nặng,"Chủ động giúp người mang đồ nặng, nhiều túi",Phát tâm giúp người
Mở cửa cho người sau,"Giữ cửa cho người đi sau, đặc biệt người già hoặc đang mang đồ",Ý tứ nhỏ nhưng ý nghĩa lớn
Nhặt rác công cộng,"Nhặt rác trên đường, ở công viên dù không phải rác của mình",Giữ gìn môi trường chung
Tưới cây cho hàng xóm,"Giúp tưới cây cho người già, người bận rộn",Phục vụ cộng đồng
Không trộm cắp,"Không lấy của không cho, trả lại đồ nhặt được",Thập Thiện thứ hai
Không tà dâm,"Giữ gìn đạo đức trong quan hệ, tôn trọng gia đình",Thập Thiện thứ ba
Cúi đầu khi gặp Tam Bảo,"Cúi đầu khi đi qua chùa, tượng Phật, gặp Tăng Ni",Gieo duyên lành
Lễ Phật mỗi ngày,Lạy Phật ba lạy sáng tối,Nuôi dưỡng tâm khiêm cung
Cúng dường nước sạch,Dâng một chung nước lọc lên Phật mỗi sáng,Tâm thanh tịnh như nước
"Giúp người bị thương, ngã","Dừng lại giúp đỡ người gặp tai nạn, bị thương",Cứu khổ cứu nạn
Cho người đói ăn,"Chia sẻ thức ăn với người nghèo, người đói",Bố thí vật chất
Cho thuốc người đau,Giúp đỡ người bệnh có thuốc men cần thiết,Bố thí pháp dược
"Ăn chay ngày rằm, sóc",Giảm sát sinh bằng việc ăn chay định kỳ,Tu tập không sát sinh
Thăm hỏi người bệnh,"Đến thăm, động viên người ốm đau",Mang lại an ủi
Cho nước người khát,Mang theo chai nước chia sẻ với người lao động ngoài trời,Bố thí cam lộ
Nhường đường xe cấp cứu,"Dừng xe, nhường đường cho xe cấp cứu, cứu hỏa",Cứu mạng gián tiếp
Giúp người già qua đường,Dắt người già qua đường nguy hiểm,Hiếu kính người cao niên
Đỡ người suýt ngã,"Đỡ người bị vấp, ngã",Phản xạ từ bi
Sửa chỗ hư hỏng công cộng,Báo cáo hoặc sửa chỗ hư tại chỗ nếu có thể,Giúp ích cộng đồng
Cho đồ cũ còn tốt,"Tặng quần áo, đồ dùng còn tốt cho người nghèo",Bố thí tài vật
Dọn dẹp chỗ công cộng,"Dọn ghế, bàn sau khi dùng ở quán, thư viện",Tôn trọng người sau
"Nhặt kim, đinh trên đường",Nhặt vật sắc nhọn để người khác không bị thương,Phòng ngừa tai nạn
Đổ nước chim chóc,Đặt chậu nước cho chim uống ngày hè,Nuôi dưỡng sinh mạng
Không giẫm lên côn trùng,"Tránh giẫm lên kiến, bọ khi đi đường",Tôn trọng mọi sinh mạng
Cứu động vật bị mắc kẹt,"Giải thoát chim, mèo bị kẹt lưới, dây",Phóng sinh trực tiếp
Không bắt nạt động vật,"Không ném đá, đuổi đánh động vật vô cớ",Từ bi với muôn loài
"Cho ăn mèo, chó hoang",Để thức ăn cho động vật lang thang,Nuôi dưỡng từ tâm
Trồng cây xanh,"Trồng cây tạo bóng mát, không khí sạch",Bảo vệ môi trường
"Dọn tuyết, lá cho hàng xóm","Giúp hàng xóm già yếu dọn tuyết, quét lá",Tinh thần hỗ trợ
Sửa xe miễn phí cho người nghèo,"Giúp sửa xe đạp, xe máy cho người khó khăn",Bố thí kỹ năng
Dọn nhà cho người ốm,Giúp dọn dẹp nhà cửa cho người bệnh,Thực hành từ bi
Nấu ăn cho người già,Nấu bữa ăn cho người già một mình,Hiếu dưỡng
Đưa người bệnh đi khám,Chở người nghèo đi bệnh viện,Giúp đỡ y tế
Hiến máu cứu người,Tham gia hiến máu định kỳ,Bố thí thân thể
Làm tình nguyện từ thiện,Tham gia hoạt động thiện nguyện,Phục vụ cộng đồng
Giúp người mù qua đường,Dắt người khiếm thị qua đường an toàn,Làm mắt cho người
Đọc sách cho người già,"Đọc báo, sách cho người già mắt yếu",Giúp đỡ tinh thần
Massage cho cha mẹ,"Xoa bóp vai gáy cho cha mẹ, người già",Hiếu thảo
Dắt xe cho người,"Giúp dắt xe nặng lên dốc, cầu thang",Giúp đỡ nhỏ nhặt
Giữ đồ giúp người,"Giữ đồ, trông xe giúp người khi cần",Tinh thần tương trợ
Chỉ đường cho người lạc,Hướng dẫn đường đi cho người lạc lối,Bố thí phương hướng
Dừng xe cho người qua,Dừng xe nhường người đi bộ qua đường,An toàn giao thông
Không bóp còi inh ỏi,"Lái xe nhẹ nhàng, không gây ồn ào",Tôn trọng yên tĩnh
Sửa chữa đồ cho người,"Giúp sửa đồ hỏng cho hàng xóm, bạn bè",Bố thí kỹ năng
Dạy nghề miễn phí,Dạy kỹ năng cho người cần học việc,Pháp thí qua hành động
Xây nhà cho người nghèo,Tham gia xây nhà tình thương,Bố thí lớn
Sửa chữa chùa miễn phí,Giúp sửa sang cơ sở tôn giáo,Hộ trì Tam Bảo
Tắm rửa cho người bệnh,"Giúp người bại liệt, người già tắm rửa",Từ bi cao cả
Thay bỉm cho người già,Chăm sóc người già mất tự chủ,Hiếu kính chí cao
Cho vay không lãi,Cho người nghèo vay tiền không lấy lãi,Bố thí tài sản
Xóa nợ cho người nghèo,Tha nợ cho người thực sự khó khăn,"Rộng lượng, từ bi"
Không đòi nợ gắt gao,"Nhẹ nhàng, kiên nhẫn với người mắc nợ","Nhẫn nhục, từ bi"
Cho mượn đồ không tính phí,"Cho mượn dụng cụ, sách vở miễn phí",Chia sẻ tài sản
Trả lại đồ thừa tiền,"Trả lại tiền thối, đồ thừa cho người bán",Trung thực
Không ăn cắp điện nước,Không gian lận công tơ điện nước,Giữ giới không trộm
Trả tiền đủ cho người bán,Không mặc cả quá đáng với người nghèo,Công bằng
Không trốn vé xe,Mua vé đầy đủ khi đi xe công cộng,Giữ giới thành thực
Thắp hương lễ Phật,"Cúng dường hương thắp tại chùa, Phật đường",Tu tâm kính Phật
Cúng dường hoa quả,Dâng hoa quả tươi lên Phật đài,Tâm thanh tịnh cúng dường
Dọn dẹp bàn thờ Phật,"Lau chùi bàn thờ, Phật tượng sạch sẽ",Kính trọng Tam Bảo
Quét dọn sân chùa,"Tham gia quét sân, dọn vườn chùa",Phục vụ tăng chúng
Sửa sang cơ sở tu,"Góp công sửa chùa, thiền đường",Hộ trì chánh pháp
In kinh sách phát miễn phí,"In ấn, phát hành kinh sách",Lưu thông chánh pháp
Cúng dường Tăng Ni,Cúng dường vật dụng cho tu sĩ,Hộ trì Tăng Bảo
Tổ chức pháp hội,"Giúp tổ chức lễ Phật, khóa tu",Tạo duyên tu học
Dựng tượng Phật tại chỗ công cộng,Góp phần xây tượng nơi công cộng,Gieo duyên lành rộng
Xây giếng nước sạch,Xây giếng cho vùng thiếu nước,Bố thí sinh mạng
Xây trường học nghèo,Góp xây trường cho trẻ vùng xa,Bố thí tri thức
Tặng sách cho thư viện,"Quyên góp sách cho thư viện, trường học",Chia sẻ tri thức
Cho học sinh nghèo đi học,Tài trợ học phí cho trẻ nghèo,Bố thí giáo dục
Không xả rác bừa bãi,Bỏ rác đúng nơi quy định,Ý thức công dân
